game_id,week,day,date,winner,loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,atHome,TODiff,schedule_playoff,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
201101020was,17,Sun,2011-01-02,NYG,WAS,17,14,325,1,385,4,FALSE,3,FALSE,NYG,-4,44.5,FedEx Field,FALSE,44,7,79,rain
201101020det,17,Sun,2011-01-02,DET,MIN,20,13,357,2,211,1,TRUE,-1,FALSE,DET,-3.5,43.5,Ford Field,FALSE,72,0,NA,indoor
201101020bal,17,Sun,2011-01-02,BAL,CIN,13,7,199,2,395,5,TRUE,3,FALSE,BAL,-9.5,43,M&T Bank Stadium,FALSE,51,7,73,NA
201101080ind,Wild Card,Sat,2011-01-08,NYJ,IND,17,16,353,1,312,0,FALSE,-1,TRUE,IND,-2,44.5,Lucas Oil Stadium,FALSE,72,0,NA,indoor
201101150pit,Division,Sat,2011-01-15,PIT,BAL,31,24,263,2,126,3,TRUE,1,TRUE,PIT,-3,37,Heinz Field,FALSE,NA,NA,NA,NA
201101160ne,Division,Sun,2011-01-16,NYJ,NE,28,21,314,0,372,1,FALSE,1,TRUE,NE,-9.5,45,Gillette Stadium,FALSE,NA,NA,NA,NA
201101230chi,Conf. Champ,Sun,2011-01-23,GB,CHI,21,14,356,2,301,3,FALSE,1,TRUE,GB,-3.5,42.5,Soldier Field,FALSE,NA,NA,NA,NA
201109110nyj,1,Sun,2011-09-11,NYJ,DAL,27,24,360,2,390,3,TRUE,1,FALSE,NYJ,-6,41,MetLife Stadium,FALSE,71,6,89,NA
201109110tb,1,Sun,2011-09-11,DET,TB,27,20,431,1,315,2,FALSE,1,FALSE,TB,-1.5,43.5,Raymond James Stadium,FALSE,88,6,55,NA
201109110cle,1,Sun,2011-09-11,CIN,CLE,27,17,294,0,285,1,FALSE,1,FALSE,CLE,-7,36.5,FirstEnergy Stadium,FALSE,72,9,NA,NA
201109110ari,1,Sun,2011-09-11,ARI,CAR,28,21,394,1,477,1,TRUE,0,FALSE,ARI,-7,37.5,University of Phoenix Stadium,FALSE,72,0,NA,indoor
201109120den,1,Mon,2011-09-12,LVR,DEN,23,20,289,1,310,3,FALSE,2,FALSE,DEN,-3,42,Sports Authority Field at Mile High,FALSE,75,6,29,NA
